date,temp,humidity,wind,cloud,rain,fog_observed,castle_visible,note,fog_probability,castle_probability,fog_score,castle_score,dew_point,dew_spread,event,updated_at,castle_event_probability
2020-11-14,7.55,81.5,6.15,1.25,0.0,1,1,,0.847,0.767,39.4,8.5,4.59,2.96,Castle,2025-11-06T11:01:53.381961+09:00,0.9108738368714548
2020-11-16,12.2,94.0,5.35,61.75,0.125,0,0,,0.033,0.793,63.1,63.1,11.26,0.94,,2025-11-06T11:01:08.010145+09:00,0.0252777773943836
2020-11-17,6.475,90.5,3.55,0.0,0.0,1,1,,0.821,0.478,62.2,38.2,5.03,1.44,FogOnly,2025-11-06T11:01:12.492143+09:00,0.9316897194324738
2020-12-10,3.475,81.0,8.825,29.75,0.0,0,0,,0.518,0.848,39.6,25.8,0.52,2.95,FogOnly,2025-11-06T10:59:48.458731+09:00,0.0416004134083044
2020-12-11,5.1,94.0,6.050000000000001,70.5,0.0,1,1,,0.186,0.915,64.4,64.4,4.21,0.89,,2025-11-06T10:59:53.353580+09:00,0.958100763488934
2020-12-22,2.975,93.5,5.35,100.0,1.15,0,0,,0.059,0.747,57.9,49.9,2.03,0.95,,2025-11-06T10:59:04.987219+09:00,0.0282546357381755
2020-12-23,4.075,93.75,5.550000000000001,56.0,0.075,1,0,,0.652,0.652,63.6,63.6,3.16,0.92,FogOnly,2025-11-06T10:59:09.436218+09:00,0.1793063110864384
2020-12-24,2.3000000000000003,74.5,13.075,93.0,0.0,0,0,,0.435,0.671,26.2,7.2,-1.77,4.07,,2025-11-06T10:58:05.143290+09:00,0.0359105590685764
2020-12-25,3.8,94.5,8.399999999999999,76.25,0.7,0,0,,0.15,0.897,61.9,61.9,3.0,0.8,,2025-11-06T10:58:09.313497+09:00,0.0270936389474609
2020-12-26,2.875,92.25,5.125,87.0,0.375,0,0,,0.154,0.884,59.5,59.5,1.74,1.13,,2025-11-06T10:57:21.181709+09:00,0.0729670339293741
2020-12-27,4.6,85.25,6.45,96.25,0.1,0,0,,0.067,0.671,47.3,40.2,2.34,2.26,,2025-11-06T10:56:42.383258+09:00,0.0603568364826355
2020-12-28,3.875,90.25,8.2,98.75,0.5,0,0,,0.185,0.735,55.1,48.1,2.42,1.45,,2025-11-06T10:55:57.055802+09:00,0.0270835359815968
2020-12-29,2.525,94.25,6.275,80.25,0.0,1,1,,0.818,0.878,65.0,65.0,1.69,0.83,Castle,2025-11-06T10:56:01.842285+09:00,0.9515469700412524
